sale_id,customer_id,product_id,store_id,quantity,sale_date,total_amount
R1_1,4082,210,44,3,2023-10-04,363.33
R1_2,3933,142,16,1,2024-11-29,176.04
R1_3,8784,495,45,9,2023-09-16,3653.5499999999997
R1_4,8772,48,75,5,2024-03-16,2176.65
R1_5,7458,294,99,2,2025-01-14,939.68
R1_6,1060,251,98,3,2023-06-30,212.52
R1_7,1315,487,58,8,2024-09-24,3728.56
R1_8,5210,459,35,10,2023-02-25,4764.0
R1_9,1512,201,94,8,2023-05-14,440.08
R1_10,3367,188,17,4,2024-01-19,1821.0
R1_11,3668,106,44,2,2024-09-26,505.38
R1_12,6320,29,94,2,2023-04-30,62.62
R1_13,9224,397,93,3,2024-05-02,714.96
R1_14,528,351,33,8,2023-08-04,3656.56
R1_15,9685,60,69,8,2024-10-27,3928.16
R1_16,5815,351,19,2,2023-09-01,914.14
R1_17,3976,231,26,8,2023-06-21,159.28
R1_18,6499,442,9,4,2023-09-02,452.24
R1_19,6115,415,39,3,2024-01-06,973.08
R1_20,9562,136,44,6,2024-05-01,1313.1
R1_21,5862,315,8,10,2024-12-20,3385.5
R1_22,1056,299,48,3,2024-02-05,976.26
R1_23,3428,195,21,2,2024-01-13,420.64
R1_24,3345,338,33,3,2024-08-31,601.98
R1_25,4535,458,71,6,2024-06-23,1523.16
R1_26,6042,362,23,9,2024-05-20,3444.12
R1_27,5768,441,28,3,2024-02-24,792.69
R1_28,7821,159,54,9,2024-12-29,1221.3
R1_29,2117,148,26,9,2024-02-08,1749.33
R1_30,3305,336,100,7,2023-12-11,2573.2000000000003
R1_31,558,208,40,4,2024-01-23,1792.84
R1_32,702,489,25,1,2023-09-17,355.98
R1_33,6927,205,55,10,2024-06-11,227.3
R1_34,7076,166,12,5,2023-03-24,2451.95
R1_35,5066,460,1,1,2023-10-09,291.19
R1_36,8312,121,10,2,2024-01-18,933.52
R1_37,9049,330,33,9,2023-10-28,1864.17
R1_38,304,178,30,3,2023-10-08,190.98
R1_39,3238,441,100,1,2024-01-08,264.23
R1_40,6067,284,77,4,2023-12-21,1912.56
R1_41,3646,106,47,6,2023-03-13,1516.1399999999999
R1_42,9495,466,35,6,2023-03-15,1345.92
R1_43,9755,441,1,10,2024-03-28,2642.3
R1_44,2622,343,51,5,2023-03-28,418.29999999999995
R1_45,103,190,5,1,2023-08-12,53.44
R1_46,9210,324,24,10,2023-11-23,3170.4
R1_47,5541,444,97,3,2023-12-01,830.8499999999999
R1_48,587,68,62,2,2023-06-12,377.8
R1_49,9932,478,96,4,2023-10-04,1531.64
R1_50,2120,366,96,7,2023-04-30,213.22
R1_51,1808,39,62,8,2023-09-23,3283.92
R1_52,3168,151,2,7,2024-09-20,416.01
R1_53,8678,482,67,5,2025-02-21,2139.7999999999997
R1_54,3747,163,18,10,2024-12-01,4892.6
R1_55,4713,443,95,1,2024-06-17,336.73
R1_56,9963,150,70,5,2023-05-11,404.79999999999995
R1_57,752,407,96,2,2024-11-25,643.64
R1_58,9235,149,48,3,2024-04-23,1245.06
R1_59,8659,296,23,3,2023-12-25,31.86
R1_60,3393,469,76,2,2024-06-09,789.34
R1_61,6766,239,30,10,2024-12-02,4806.6
R1_62,8421,89,77,5,2023-08-17,1668.65
R1_63,406,230,52,10,2024-03-19,1534.6000000000001
R1_64,7227,371,25,1,2023-04-17,343.89
R1_65,506,276,46,6,2025-01-20,2017.02
R1_66,5140,106,16,4,2024-10-31,1010.76
R1_67,9756,37,74,8,2025-02-10,3118.72
R1_68,6852,18,48,7,2023-09-01,1911.56
R1_69,1694,53,32,9,2023-05-03,2313.54
R1_70,233,403,20,6,2023-11-05,1218.84
R1_71,4912,327,46,10,2024-12-22,2938.2999999999997
R1_72,9817,65,10,8,2024-10-06,2817.28
R1_73,3120,183,93,2,2023-04-06,874.32
R1_74,9730,232,40,8,2025-01-11,269.92
R1_75,3642,494,36,3,2023-10-15,299.90999999999997
R1_76,7645,420,26,2,2023-12-27,682.9
R1_77,1275,392,38,4,2023-07-02,76.16
R1_78,1982,104,59,5,2024-11-09,2348.2
R1_79,5944,11,93,6,2023-09-06,718.8
R1_80,428,61,92,5,2025-01-14,1108.8500000000001
R1_81,9032,376,98,2,2023-09-14,380.94
R1_82,2556,337,21,3,2024-07-13,682.47
R1_83,4852,337,53,3,2024-04-14,682.47
R1_84,2341,191,67,5,2023-07-29,1754.35
R1_85,5538,126,20,7,2023-03-15,1333.29
R1_86,313,260,6,6,2024-12-24,1246.02
R1_87,8200,434,24,7,2024-01-12,2284.1
R1_88,8280,104,91,1,2024-03-13,469.64
R1_89,1674,318,69,8,2023-08-10,3044.0
R1_90,1608,281,12,6,2023-12-22,280.74
R1_91,7593,237,26,9,2023-03-15,1624.14
R1_92,6581,468,27,1,2024-09-09,399.24
R1_93,9728,212,2,7,2023-09-17,88.55
R1_94,4905,357,99,4,2023-08-29,1182.04
R1_95,3362,57,21,6,2023-10-25,2655.48
R1_96,6661,63,94,1,2024-07-15,19.71
R1_97,4658,257,1,9,2025-02-18,402.84
R1_98,4340,271,40,9,2024-08-28,913.86
R1_99,9360,191,99,9,2023-12-16,3157.83
R1_100,7148,195,21,7,2023-04-20,1472.24
R1_101,3462,142,17,6,2024-01-13,1056.24
R1_102,8909,40,32,7,2024-10-16,1458.24
R1_103,3158,319,79,2,2023-12-06,311.86
R1_104,5754,82,90,1,2023-10-26,299.12
R1_105,6572,91,35,2,2024-10-11,713.78
R1_106,124,364,76,9,2024-09-21,3895.65
R1_107,5358,74,51,10,2024-07-23,257.4
R1_108,9270,217,70,9,2025-01-04,2729.88
R1_109,5794,119,38,4,2024-07-23,1018.16
R1_110,2272,215,12,10,2024-03-05,722.0999999999999
R1_111,7325,26,81,9,2023-02-26,694.4399999999999
R1_112,7932,413,29,6,2023-09-22,1831.62
R1_113,9655,97,36,9,2023-06-17,1744.6499999999999
R1_114,4617,460,16,3,2024-08-21,873.5699999999999
R1_115,8513,218,43,2,2023-09-17,312.44
R1_116,9009,330,52,9,2024-02-22,1864.17
R1_117,5177,221,35,3,2023-11-16,1470.9
R1_118,974,281,75,5,2023-04-03,233.95
R1_119,317,216,15,6,2024-05-31,721.86
